2019-03-06-16-22-21-734	125	50040	-0.0667771	0.771794	0.4620435
2019-03-06-16-22-21-737	126	50041	-0.05102433	0.6880028	0.3778109
2019-03-06-16-22-21-740	127	50078	0.3395762	0.7332449	0.3108531
2019-03-06-16-22-21-744	128	50079	0.4241691	0.6899633	0.2368481
2019-03-06-16-22-21-755	129	131073	-0.0639438	0.8513334	0.585187
2019-03-06-16-22-21-759	130	131074	-0.06184467	0.8060341	0.6086861
2019-03-06-16-22-21-762	131	131075	-0.08612502	0.8071421	0.5940596
2019-03-06-16-22-21-765	132	131076	-0.0220145	0.8279911	0.5693353
2019-03-06-16-22-21-769	133	50040	-0.06893859	0.7727557	0.4609942
2019-03-06-16-22-21-772	134	50041	-0.0509874	0.6881916	0.3773406
2019-03-06-16-22-21-775	135	50078	0.3329693	0.7333327	0.311588
2019-03-06-16-22-21-778	136	50079	0.4177155	0.6892335	0.2381489
2019-03-06-16-22-21-781	137	50082	0.08535492	0.9855367	0.3238522
2019-03-06-16-22-21-789	138	131073	-0.0638376	0.8512905	0.5851872
2019-03-06-16-22-21-792	139	131074	-0.0617683	0.8060274	0.608679
2019-03-06-16-22-21-796	140	131075	-0.08599117	0.8072554	0.5940281
2019-03-06-16-22-21-799	141	131076	-0.02190964	0.8279814	0.56937
2019-03-06-16-22-21-802	142	50040	-0.07063725	0.7741482	0.459287
2019-03-06-16-22-21-804	143	50041	-0.05109142	0.6884533	0.3763591
2019-03-06-16-22-21-807	144	50078	0.3260735	0.7323567	0.3126593
2019-03-06-16-22-21-810	145	50079	0.4111423	0.6878021	0.2395202
2019-03-06-16-22-21-813	146	50082	0.08156717	0.9851776	0.3256437
2019-03-06-16-22-21-826	147	131073	-0.06378122	0.8514243	0.5854146
2019-03-06-16-22-21-830	148	131074	-0.06172631	0.8060521	0.6087943
2019-03-06-16-22-21-833	149	131075	-0.08595815	0.8073022	0.5941563
2019-03-06-16-22-21-836	150	131076	-0.02188016	0.8280296	0.569493
2019-03-06-16-22-21-838	151	50040	-0.07433203	0.7752823	0.4582082
2019-03-06-16-22-21-841	152	50041	-0.05166191	0.6892127	0.3749894
2019-03-06-16-22-21-844	153	50078	0.3164896	0.7311657	0.3144642
2019-03-06-16-22-21-847	154	50079	0.4019217	0.685576	0.2418255
2019-03-06-16-22-21-850	155	50082	0.07902253	0.9825455	0.3256027
2019-03-06-16-22-21-861	156	131073	-0.06379596	0.8514409	0.5854601
2019-03-06-16-22-21-864	157	131074	-0.06174438	0.8060415	0.6088203
2019-03-06-16-22-21-867	158	131075	-0.0859787	0.8073155	0.5941796
2019-03-06-16-22-21-870	159	131076	-0.02187971	0.8279973	0.5695407
2019-03-06-16-22-21-873	160	50040	-0.0789725	0.7760053	0.4575342
2019-03-06-16-22-21-875	161	50041	-0.05267692	0.6902093	0.3738253
2019-03-06-16-22-21-879	162	50078	0.3076765	0.7305774	0.3159296
2019-03-06-16-22-21-882	163	50079	0.3927588	0.6843488	0.2441432
2019-03-06-16-22-21-885	164	50082	0.07679629	0.9823225	0.3259301
2019-03-06-16-22-21-892	165	131073	-0.06385127	0.8513873	0.5853499
2019-03-06-16-22-21-896	166	131074	-0.06178389	0.8060306	0.6087525
2019-03-06-16-22-21-899	167	131075	-0.08606033	0.8071555	0.5941221
2019-03-06-16-22-21-902	168	131076	-0.02194204	0.8280106	0.5694478
2019-03-06-16-22-21-905	169	50040	-0.08506481	0.7776905	0.455746
2019-03-06-16-22-21-907	170	50041	-0.05408342	0.6915038	0.3727049
2019-03-06-16-22-21-910	171	50078	0.2975241	0.7305114	0.3170645
2019-03-06-16-22-21-914	172	50079	0.3831253	0.6825106	0.24612
2019-03-06-16-22-21-917	173	50082	0.07479125	0.9824022	0.3258796
2019-03-06-16-22-21-925	174	131073	-0.06387983	0.8513047	0.5851455
2019-03-06-16-22-21-928	175	131074	-0.06178724	0.806022	0.6086579
2019-03-06-16-22-21-931	176	131075	-0.08601823	0.8072364	0.5940078
2019-03-06-16-22-21-934	177	131076	-0.02195169	0.8279657	0.5693034
2019-03-06-16-22-21-937	178	50040	-0.09271906	0.7791215	0.4539676
2019-03-06-16-22-21-940	179	50041	-0.05598151	0.6933312	0.3714886
2019-03-06-16-22-21-945	180	50078	0.2864875	0.731281	0.3179636
